,algorithm,query,retrieval
21,PureSVD,"['Getting Away With Murder (1996)<br>Comedy<br>Popularity:0.0', 'Body Parts (1991)<br>Horror<br>Popularity:5.0', 'Hollow Reed (1996)<br>Drama<br>Popularity:7.0', ""Heaven's Burning (1997)<br>Action|Drama<br>Popularity:1.0"", 'Wings (1927)<br>Drama|Romance|War<br>Popularity:19.0']","['Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'Terminator, The (1984)<br>Action|Sci-Fi|Thriller<br>Popularity:1360.0', 'Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0']"
43,PmiPLRec,"['Gingerbread Man, The (1998)<br>Drama|Thriller<br>Popularity:16.0', 'Almost Heroes (1998)<br>Adventure|Comedy<br>Popularity:8.0', 'Falling Down (1993)<br>Action|Drama<br>Popularity:179.0', 'Smashing Time (1967)<br>Comedy<br>Popularity:2.0']","['Die Hard 2 (1990)<br>Action|Thriller<br>Popularity:457.0', 'Die Hard: With a Vengeance (1995)<br>Action|Thriller<br>Popularity:316.0', 'True Lies (1994)<br>Action|Adventure|Comedy|Romance<br>Popularity:577.0']"
43,PLRec,"['Gingerbread Man, The (1998)<br>Drama|Thriller<br>Popularity:16.0', 'Almost Heroes (1998)<br>Adventure|Comedy<br>Popularity:8.0', 'Falling Down (1993)<br>Action|Drama<br>Popularity:179.0', 'Smashing Time (1967)<br>Comedy<br>Popularity:2.0']","['Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', ""Wizard of Oz, The (1939)<br>Adventure|Children's|Drama|Musical<br>Popularity:1059.0"", 'Die Hard: With a Vengeance (1995)<br>Action|Thriller<br>Popularity:316.0']"
43,PureSVD,"['Gingerbread Man, The (1998)<br>Drama|Thriller<br>Popularity:16.0', 'Almost Heroes (1998)<br>Adventure|Comedy<br>Popularity:8.0', 'Falling Down (1993)<br>Action|Drama<br>Popularity:179.0', 'Smashing Time (1967)<br>Comedy<br>Popularity:2.0']","['Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', ""Wizard of Oz, The (1939)<br>Adventure|Children's|Drama|Musical<br>Popularity:1059.0"", 'Die Hard: With a Vengeance (1995)<br>Action|Thriller<br>Popularity:316.0']"
4,PmiPLRec,['Grumpy Old Men (1993)<br>Comedy<br>Popularity:256.0'],"['Braveheart (1995)<br>Action|Drama|War<br>Popularity:1672.0', 'My Cousin Vinny (1992)<br>Comedy<br>Popularity:488.0', 'League of Their Own, A (1992)<br>Comedy|Drama<br>Popularity:472.0']"
4,PLRec,['Grumpy Old Men (1993)<br>Comedy<br>Popularity:256.0'],"['Stand by Me (1986)<br>Adventure|Comedy|Drama<br>Popularity:1153.0', 'My Cousin Vinny (1992)<br>Comedy<br>Popularity:488.0', 'League of Their Own, A (1992)<br>Comedy|Drama<br>Popularity:472.0']"
4,PureSVD,['Grumpy Old Men (1993)<br>Comedy<br>Popularity:256.0'],"['Stand by Me (1986)<br>Adventure|Comedy|Drama<br>Popularity:1153.0', 'My Cousin Vinny (1992)<br>Comedy<br>Popularity:488.0', 'League of Their Own, A (1992)<br>Comedy|Drama<br>Popularity:472.0']"
36,PmiPLRec,"['Hamlet (1996)<br>Drama<br>Popularity:212.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Holy Smoke (1999)<br>Drama<br>Popularity:15.0']","['Good Will Hunting (1997)<br>Drama<br>Popularity:965.0', 'Shawshank Redemption, The (1994)<br>Drama<br>Popularity:1701.0', ""Schindler's List (1993)<br>Drama|War<br>Popularity:1770.0""]"
36,PLRec,"['Hamlet (1996)<br>Drama<br>Popularity:212.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Holy Smoke (1999)<br>Drama<br>Popularity:15.0']","['Good Will Hunting (1997)<br>Drama<br>Popularity:965.0', 'Shakespeare in Love (1998)<br>Comedy|Romance<br>Popularity:1536.0', 'Pulp Fiction (1994)<br>Crime|Drama<br>Popularity:1406.0']"
36,PureSVD,"['Hamlet (1996)<br>Drama<br>Popularity:212.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Holy Smoke (1999)<br>Drama<br>Popularity:15.0']","['Good Will Hunting (1997)<br>Drama<br>Popularity:965.0', 'Shakespeare in Love (1998)<br>Comedy|Romance<br>Popularity:1536.0', 'Pulp Fiction (1994)<br>Crime|Drama<br>Popularity:1406.0']"
3,PmiPLRec,"['He Walked by Night (1948)<br>Crime|Film-Noir|Thriller<br>Popularity:9.0', 'Manchurian Candidate, The (1962)<br>Film-Noir|Thriller<br>Popularity:484.0', 'City of the Living Dead (Paura nella citt\xc3\xa0 dei morti viventi) (1980)<br>Horror<br>Popularity:1.0', 'Requiem for a Dream (2000)<br>Drama<br>Popularity:85.0']","['Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0', 'Maltese Falcon, The (1941)<br>Film-Noir|Mystery<br>Popularity:706.0', 'L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0']"
3,PLRec,"['He Walked by Night (1948)<br>Crime|Film-Noir|Thriller<br>Popularity:9.0', 'Manchurian Candidate, The (1962)<br>Film-Noir|Thriller<br>Popularity:484.0', 'City of the Living Dead (Paura nella citt\xc3\xa0 dei morti viventi) (1980)<br>Horror<br>Popularity:1.0', 'Requiem for a Dream (2000)<br>Drama<br>Popularity:85.0']","['Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0', 'Maltese Falcon, The (1941)<br>Film-Noir|Mystery<br>Popularity:706.0', 'Strangers on a Train (1951)<br>Film-Noir|Thriller<br>Popularity:323.0']"
3,PureSVD,"['He Walked by Night (1948)<br>Crime|Film-Noir|Thriller<br>Popularity:9.0', 'Manchurian Candidate, The (1962)<br>Film-Noir|Thriller<br>Popularity:484.0', 'City of the Living Dead (Paura nella citt\xc3\xa0 dei morti viventi) (1980)<br>Horror<br>Popularity:1.0', 'Requiem for a Dream (2000)<br>Drama<br>Popularity:85.0']","['Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0', 'Maltese Falcon, The (1941)<br>Film-Noir|Mystery<br>Popularity:706.0', 'Strangers on a Train (1951)<br>Film-Noir|Thriller<br>Popularity:323.0']"
37,PureSVD,"['How Green Was My Valley (1941)<br>Drama<br>Popularity:49.0', '52 Pick-Up (1986)<br>Action|Mystery|Thriller<br>Popularity:37.0', 'Election (1999)<br>Comedy<br>Popularity:932.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0', 'Idolmaker, The (1980)<br>Drama<br>Popularity:5.0']","['Rushmore (1998)<br>Comedy<br>Popularity:611.0', ""Boys Don't Cry (1999)<br>Drama<br>Popularity:521.0"", 'Clerks (1994)<br>Comedy<br>Popularity:821.0']"
37,PmiPLRec,"['How Green Was My Valley (1941)<br>Drama<br>Popularity:49.0', '52 Pick-Up (1986)<br>Action|Mystery|Thriller<br>Popularity:37.0', 'Election (1999)<br>Comedy<br>Popularity:932.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0', 'Idolmaker, The (1980)<br>Drama<br>Popularity:5.0']","['Being John Malkovich (1999)<br>Comedy<br>Popularity:1486.0', 'American Beauty (1999)<br>Comedy|Drama<br>Popularity:2545.0', 'Rushmore (1998)<br>Comedy<br>Popularity:611.0']"
37,PLRec,"['How Green Was My Valley (1941)<br>Drama<br>Popularity:49.0', '52 Pick-Up (1986)<br>Action|Mystery|Thriller<br>Popularity:37.0', 'Election (1999)<br>Comedy<br>Popularity:932.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0', 'Idolmaker, The (1980)<br>Drama<br>Popularity:5.0']","['Rushmore (1998)<br>Comedy<br>Popularity:611.0', ""Boys Don't Cry (1999)<br>Drama<br>Popularity:521.0"", 'Clerks (1994)<br>Comedy<br>Popularity:821.0']"
30,PLRec,"[""Joe's Apartment (1996)<br>Comedy|Musical<br>Popularity:9.0"", 'East of Eden (1955)<br>Drama<br>Popularity:115.0', 'Crossfire (1947)<br>Crime|Film-Noir<br>Popularity:16.0', 'In Too Deep (1999)<br>Action|Thriller<br>Popularity:10.0', 'Original Kings of Comedy, The (2000)<br>Comedy|Documentary<br>Popularity:43.0']","['On the Waterfront (1954)<br>Crime|Drama<br>Popularity:304.0', 'Grapes of Wrath, The (1940)<br>Drama<br>Popularity:305.0', 'Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)<br>Action|Drama<br>Popularity:458.0']"
30,PmiPLRec,"[""Joe's Apartment (1996)<br>Comedy|Musical<br>Popularity:9.0"", 'East of Eden (1955)<br>Drama<br>Popularity:115.0', 'Crossfire (1947)<br>Crime|Film-Noir<br>Popularity:16.0', 'In Too Deep (1999)<br>Action|Thriller<br>Popularity:10.0', 'Original Kings of Comedy, The (2000)<br>Comedy|Documentary<br>Popularity:43.0']","['Citizen Kane (1941)<br>Drama<br>Popularity:729.0', 'On the Waterfront (1954)<br>Crime|Drama<br>Popularity:304.0', 'To Kill a Mockingbird (1962)<br>Drama<br>Popularity:605.0']"
30,PureSVD,"[""Joe's Apartment (1996)<br>Comedy|Musical<br>Popularity:9.0"", 'East of Eden (1955)<br>Drama<br>Popularity:115.0', 'Crossfire (1947)<br>Crime|Film-Noir<br>Popularity:16.0', 'In Too Deep (1999)<br>Action|Thriller<br>Popularity:10.0', 'Original Kings of Comedy, The (2000)<br>Comedy|Documentary<br>Popularity:43.0']","['On the Waterfront (1954)<br>Crime|Drama<br>Popularity:304.0', 'Grapes of Wrath, The (1940)<br>Drama<br>Popularity:305.0', 'Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)<br>Action|Drama<br>Popularity:458.0']"
13,PureSVD,"['Johnny Mnemonic (1995)<br>Action|Sci-Fi|Thriller<br>Popularity:59.0', 'Paper, The (1994)<br>Comedy|Drama<br>Popularity:47.0', 'Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Police Academy (1984)<br>Comedy<br>Popularity:74.0', 'Gambler, The (A J\xc3\xa1t\xc3\xa9kos) (1997)<br>Drama<br>Popularity:3.0', 'Color of Paradise, The (Rang-e Khoda) (1999)<br>Drama<br>Popularity:26.0', ""All the Rage (a.k.a. It's the Rage) (1999)<br>Drama<br>Popularity:0.0""]","['Groundhog Day (1993)<br>Comedy|Romance<br>Popularity:1332.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0', 'Spaceballs (1987)<br>Comedy|Sci-Fi<br>Popularity:273.0']"
13,PLRec,"['Johnny Mnemonic (1995)<br>Action|Sci-Fi|Thriller<br>Popularity:59.0', 'Paper, The (1994)<br>Comedy|Drama<br>Popularity:47.0', 'Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Police Academy (1984)<br>Comedy<br>Popularity:74.0', 'Gambler, The (A J\xc3\xa1t\xc3\xa9kos) (1997)<br>Drama<br>Popularity:3.0', 'Color of Paradise, The (Rang-e Khoda) (1999)<br>Drama<br>Popularity:26.0', ""All the Rage (a.k.a. It's the Rage) (1999)<br>Drama<br>Popularity:0.0""]","['Groundhog Day (1993)<br>Comedy|Romance<br>Popularity:1332.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0', 'Spaceballs (1987)<br>Comedy|Sci-Fi<br>Popularity:273.0']"
13,PmiPLRec,"['Johnny Mnemonic (1995)<br>Action|Sci-Fi|Thriller<br>Popularity:59.0', 'Paper, The (1994)<br>Comedy|Drama<br>Popularity:47.0', 'Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Police Academy (1984)<br>Comedy<br>Popularity:74.0', 'Gambler, The (A J\xc3\xa1t\xc3\xa9kos) (1997)<br>Drama<br>Popularity:3.0', 'Color of Paradise, The (Rang-e Khoda) (1999)<br>Drama<br>Popularity:26.0', ""All the Rage (a.k.a. It's the Rage) (1999)<br>Drama<br>Popularity:0.0""]","['Spaceballs (1987)<br>Comedy|Sci-Fi<br>Popularity:273.0', 'Good Morning, Vietnam (1987)<br>Comedy|Drama|War<br>Popularity:450.0', 'Back to the Future Part II (1989)<br>Comedy|Sci-Fi<br>Popularity:369.0']"
5,PureSVD,"['Limey, The (1999)<br>Action|Crime|Drama<br>Popularity:216.0']","['Run Lola Run (Lola rennt) (1998)<br>Action|Crime|Romance<br>Popularity:700.0', 'Out of Sight (1998)<br>Action|Crime|Romance<br>Popularity:462.0', 'Heat (1995)<br>Action|Crime|Thriller<br>Popularity:493.0']"
5,PmiPLRec,"['Limey, The (1999)<br>Action|Crime|Drama<br>Popularity:216.0']","['Out of Sight (1998)<br>Action|Crime|Romance<br>Popularity:462.0', 'Run Lola Run (Lola rennt) (1998)<br>Action|Crime|Romance<br>Popularity:700.0', 'Heat (1995)<br>Action|Crime|Thriller<br>Popularity:493.0']"
5,PLRec,"['Limey, The (1999)<br>Action|Crime|Drama<br>Popularity:216.0']","['Run Lola Run (Lola rennt) (1998)<br>Action|Crime|Romance<br>Popularity:700.0', 'Out of Sight (1998)<br>Action|Crime|Romance<br>Popularity:462.0', 'Heat (1995)<br>Action|Crime|Thriller<br>Popularity:493.0']"
31,PureSVD,['Little Buddha (1993)<br>Drama<br>Popularity:14.0'],"['L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0', 'Contact (1997)<br>Drama|Sci-Fi<br>Popularity:652.0', 'Election (1999)<br>Comedy<br>Popularity:932.0']"
31,PmiPLRec,['Little Buddha (1993)<br>Drama<br>Popularity:14.0'],"['Contact (1997)<br>Drama|Sci-Fi<br>Popularity:652.0', 'Malcolm X (1992)<br>Drama<br>Popularity:250.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0']"
31,PLRec,['Little Buddha (1993)<br>Drama<br>Popularity:14.0'],"['L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0', 'Election (1999)<br>Comedy<br>Popularity:932.0', 'Contact (1997)<br>Drama|Sci-Fi<br>Popularity:652.0']"
19,PLRec,"['Lost Horizon (1937)<br>Drama<br>Popularity:39.0', 'Michael Collins (1996)<br>Drama|War<br>Popularity:56.0', 'Grease (1978)<br>Comedy|Musical|Romance<br>Popularity:260.0']","['My Fair Lady (1964)<br>Musical|Romance<br>Popularity:333.0', ""Singin' in the Rain (1952)<br>Musical|Romance<br>Popularity:429.0"", ""Mary Poppins (1964)<br>Children's|Comedy|Musical<br>Popularity:496.0""]"
19,PureSVD,"['Lost Horizon (1937)<br>Drama<br>Popularity:39.0', 'Michael Collins (1996)<br>Drama|War<br>Popularity:56.0', 'Grease (1978)<br>Comedy|Musical|Romance<br>Popularity:260.0']","['My Fair Lady (1964)<br>Musical|Romance<br>Popularity:333.0', ""Singin' in the Rain (1952)<br>Musical|Romance<br>Popularity:429.0"", ""Mary Poppins (1964)<br>Children's|Comedy|Musical<br>Popularity:496.0""]"
19,PmiPLRec,"['Lost Horizon (1937)<br>Drama<br>Popularity:39.0', 'Michael Collins (1996)<br>Drama|War<br>Popularity:56.0', 'Grease (1978)<br>Comedy|Musical|Romance<br>Popularity:260.0']","[""Mary Poppins (1964)<br>Children's|Comedy|Musical<br>Popularity:496.0"", 'My Fair Lady (1964)<br>Musical|Romance<br>Popularity:333.0', ""Lady and the Tramp (1955)<br>Animation|Children's|Comedy|Musical|Romance<br>Popularity:411.0""]"
35,PLRec,"['Madonna: Truth or Dare (1991)<br>Documentary<br>Popularity:29.0', 'Chambermaid on the Titanic, The (1998)<br>Romance<br>Popularity:5.0', 'Hairspray (1988)<br>Comedy|Drama<br>Popularity:158.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0']","['Gladiator (2000)<br>Action|Drama<br>Popularity:1095.0', 'Ed Wood (1994)<br>Comedy|Drama<br>Popularity:445.0', 'Rocky Horror Picture Show, The (1975)<br>Comedy|Horror|Musical|Sci-Fi<br>Popularity:417.0']"
35,PmiPLRec,"['Madonna: Truth or Dare (1991)<br>Documentary<br>Popularity:29.0', 'Chambermaid on the Titanic, The (1998)<br>Romance<br>Popularity:5.0', 'Hairspray (1988)<br>Comedy|Drama<br>Popularity:158.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0']","['Ed Wood (1994)<br>Comedy|Drama<br>Popularity:445.0', 'Grifters, The (1990)<br>Crime|Drama|Film-Noir<br>Popularity:454.0', ""Pee-wee's Big Adventure (1985)<br>Comedy<br>Popularity:325.0""]"
35,PureSVD,"['Madonna: Truth or Dare (1991)<br>Documentary<br>Popularity:29.0', 'Chambermaid on the Titanic, The (1998)<br>Romance<br>Popularity:5.0', 'Hairspray (1988)<br>Comedy|Drama<br>Popularity:158.0', 'Gilda (1946)<br>Film-Noir<br>Popularity:59.0']","['Gladiator (2000)<br>Action|Drama<br>Popularity:1095.0', 'Ed Wood (1994)<br>Comedy|Drama<br>Popularity:445.0', 'Rocky Horror Picture Show, The (1975)<br>Comedy|Horror|Musical|Sci-Fi<br>Popularity:417.0']"
24,PureSVD,"[""Margaret's Museum (1995)<br>Drama<br>Popularity:2.0"", 'Tough Guys (1986)<br>Comedy<br>Popularity:10.0', 'Haunting, The (1999)<br>Horror|Thriller<br>Popularity:45.0', 'Airplane II: The Sequel (1982)<br>Comedy<br>Popularity:120.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Galaxy Quest (1999)<br>Adventure|Comedy|Sci-Fi<br>Popularity:935.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0']"
24,PmiPLRec,"[""Margaret's Museum (1995)<br>Drama<br>Popularity:2.0"", 'Tough Guys (1986)<br>Comedy<br>Popularity:10.0', 'Haunting, The (1999)<br>Horror|Thriller<br>Popularity:45.0', 'Airplane II: The Sequel (1982)<br>Comedy<br>Popularity:120.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Back to the Future (1985)<br>Comedy|Sci-Fi<br>Popularity:1601.0', 'American Pie (1999)<br>Comedy<br>Popularity:671.0']"
24,PLRec,"[""Margaret's Museum (1995)<br>Drama<br>Popularity:2.0"", 'Tough Guys (1986)<br>Comedy<br>Popularity:10.0', 'Haunting, The (1999)<br>Horror|Thriller<br>Popularity:45.0', 'Airplane II: The Sequel (1982)<br>Comedy<br>Popularity:120.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Galaxy Quest (1999)<br>Adventure|Comedy|Sci-Fi<br>Popularity:935.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0']"
18,PLRec,"['Mimic (1997)<br>Sci-Fi|Thriller<br>Popularity:48.0', 'Odd Couple II, The (1998)<br>Comedy<br>Popularity:9.0', 'Knightriders (1981)<br>Action|Adventure|Drama<br>Popularity:7.0']","[""Babe (1995)<br>Children's|Comedy|Drama<br>Popularity:984.0"", 'Dark City (1998)<br>Film-Noir|Sci-Fi|Thriller<br>Popularity:451.0', 'Back to the Future Part III (1990)<br>Comedy|Sci-Fi|Western<br>Popularity:310.0']"
18,PureSVD,"['Mimic (1997)<br>Sci-Fi|Thriller<br>Popularity:48.0', 'Odd Couple II, The (1998)<br>Comedy<br>Popularity:9.0', 'Knightriders (1981)<br>Action|Adventure|Drama<br>Popularity:7.0']","[""Babe (1995)<br>Children's|Comedy|Drama<br>Popularity:984.0"", 'Dark City (1998)<br>Film-Noir|Sci-Fi|Thriller<br>Popularity:451.0', 'Run Lola Run (Lola rennt) (1998)<br>Action|Crime|Romance<br>Popularity:700.0']"
18,PmiPLRec,"['Mimic (1997)<br>Sci-Fi|Thriller<br>Popularity:48.0', 'Odd Couple II, The (1998)<br>Comedy<br>Popularity:9.0', 'Knightriders (1981)<br>Action|Adventure|Drama<br>Popularity:7.0']","['Dark City (1998)<br>Film-Noir|Sci-Fi|Thriller<br>Popularity:451.0', 'Back to the Future Part III (1990)<br>Comedy|Sci-Fi|Western<br>Popularity:310.0', 'Fifth Element, The (1997)<br>Action|Sci-Fi<br>Popularity:616.0']"
34,PLRec,"['Mulholland Falls (1996)<br>Crime|Film-Noir|Thriller<br>Popularity:59.0', 'Conformist, The (Il Conformista) (1970)<br>Drama<br>Popularity:38.0', 'Hand That Rocks the Cradle, The (1992)<br>Thriller<br>Popularity:68.0', 'Girl on the Bridge, The (La Fille sur le Pont) (1999)<br>Drama|Romance<br>Popularity:25.0']","['Basic Instinct (1992)<br>Mystery|Thriller<br>Popularity:231.0', 'Firm, The (1993)<br>Drama|Thriller<br>Popularity:291.0', 'Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0']"
34,PmiPLRec,"['Mulholland Falls (1996)<br>Crime|Film-Noir|Thriller<br>Popularity:59.0', 'Conformist, The (Il Conformista) (1970)<br>Drama<br>Popularity:38.0', 'Hand That Rocks the Cradle, The (1992)<br>Thriller<br>Popularity:68.0', 'Girl on the Bridge, The (La Fille sur le Pont) (1999)<br>Drama|Romance<br>Popularity:25.0']","['Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0', 'Firm, The (1993)<br>Drama|Thriller<br>Popularity:291.0', 'Basic Instinct (1992)<br>Mystery|Thriller<br>Popularity:231.0']"
34,PureSVD,"['Mulholland Falls (1996)<br>Crime|Film-Noir|Thriller<br>Popularity:59.0', 'Conformist, The (Il Conformista) (1970)<br>Drama<br>Popularity:38.0', 'Hand That Rocks the Cradle, The (1992)<br>Thriller<br>Popularity:68.0', 'Girl on the Bridge, The (La Fille sur le Pont) (1999)<br>Drama|Romance<br>Popularity:25.0']","['Basic Instinct (1992)<br>Mystery|Thriller<br>Popularity:231.0', 'Firm, The (1993)<br>Drama|Thriller<br>Popularity:291.0', 'Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0']"
27,PLRec,"['My Giant (1998)<br>Comedy<br>Popularity:3.0', 'Taste of Cherry (1997)<br>Drama<br>Popularity:13.0', 'Celebrity (1998)<br>Comedy<br>Popularity:12.0', 'American Werewolf in Paris, An (1997)<br>Comedy|Horror<br>Popularity:49.0', 'Superstar (1999)<br>Comedy<br>Popularity:29.0', ""Jesus' Son (1999)<br>Drama<br>Popularity:57.0""]","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Best in Show (2000)<br>Comedy<br>Popularity:293.0']"
27,PureSVD,"['My Giant (1998)<br>Comedy<br>Popularity:3.0', 'Taste of Cherry (1997)<br>Drama<br>Popularity:13.0', 'Celebrity (1998)<br>Comedy<br>Popularity:12.0', 'American Werewolf in Paris, An (1997)<br>Comedy|Horror<br>Popularity:49.0', 'Superstar (1999)<br>Comedy<br>Popularity:29.0', ""Jesus' Son (1999)<br>Drama<br>Popularity:57.0""]","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Best in Show (2000)<br>Comedy<br>Popularity:293.0']"
27,PmiPLRec,"['My Giant (1998)<br>Comedy<br>Popularity:3.0', 'Taste of Cherry (1997)<br>Drama<br>Popularity:13.0', 'Celebrity (1998)<br>Comedy<br>Popularity:12.0', 'American Werewolf in Paris, An (1997)<br>Comedy|Horror<br>Popularity:49.0', 'Superstar (1999)<br>Comedy<br>Popularity:29.0', ""Jesus' Son (1999)<br>Drama<br>Popularity:57.0""]","['Election (1999)<br>Comedy<br>Popularity:932.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'American Beauty (1999)<br>Comedy|Drama<br>Popularity:2545.0']"
29,PureSVD,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
29,PLRec,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
29,PmiPLRec,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'American Beauty (1999)<br>Comedy|Drama<br>Popularity:2545.0']"
17,PmiPLRec,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Clueless (1995)<br>Comedy|Romance<br>Popularity:628.0']"
17,PureSVD,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0']"
17,PLRec,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0']"
32,PureSVD,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
32,PmiPLRec,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', ""Boys Don't Cry (1999)<br>Drama<br>Popularity:521.0""]"
32,PLRec,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
49,PLRec,"['Primal Fear (1996)<br>Drama|Thriller<br>Popularity:240.0', 'Twister (1996)<br>Action|Adventure|Romance|Thriller<br>Popularity:292.0', 'Scream 3 (2000)<br>Horror|Mystery|Thriller<br>Popularity:89.0']","['Jaws (1975)<br>Action|Horror<br>Popularity:976.0', 'Speed (1994)<br>Action|Romance|Thriller<br>Popularity:704.0', 'Jurassic Park (1993)<br>Action|Adventure|Sci-Fi<br>Popularity:1418.0']"
